User_ID,Alcohol_YN
120,1.0
126,1.0
624,1.0
915,1.0
1168,1.0
3177,1.0
3427,1.0
3529,1.0
3997,1.0
4219,1.0
4362,1.0
5141,1.0
5332,1.0
5450,1.0
5597,1.0
7008,1.0
7405,1.0
7649,1.0
7682,1.0
8372,1.0
8737,1.0
9154,1.0
9780,1.0
11687,1.0
11704,1.0
11802,1.0
12009,1.0
12181,1.0
12227,1.0
12343,1.0
12647,1.0
12948,1.0
14849,1.0
14866,1.0
15329,1.0
15830,1.0
16693,1.0
16733,1.0
16763,1.0
16901,1.0
17229,1.0
17544,1.0
18133,1.0
18203,1.0
19475,1.0
20039,1.0
20231,1.0
20252,1.0
21032,1.0
22320,1.0
22605,1.0
22945,1.0
23169,1.0
23585,1.0
23684,1.0
23783,1.0
24242,1.0
24783,1.0
26458,1.0
27611,1.0
27726,1.0
27787,1.0
27970,1.0
28118,1.0
28451,1.0
28554,1.0
29919,1.0
30301,1.0
30515,1.0
31112,1.0
31359,1.0
31514,1.0
32203,1.0
33026,1.0
33141,1.0
33193,1.0
34039,1.0
34863,1.0
35011,1.0
36794,1.0
36931,1.0
37259,1.0
37784,1.0
38540,1.0
38654,1.0
39801,1.0
40831,1.0
41227,1.0
41873,1.0
42046,1.0
42250,1.0
42312,1.0
42637,1.0
43427,1.0
43527,1.0
43579,1.0
43847,1.0
44216,1.0
45185,1.0
45327,1.0
45697,1.0
45780,1.0
45912,1.0
46198,1.0
46205,1.0
46385,1.0
46464,1.0
46611,1.0
46899,1.0
47135,1.0
47548,1.0
47723,1.0
47834,1.0
48031,1.0
48105,1.0
48222,1.0
48339,1.0
48952,1.0
48989,1.0
49981,1.0
51511,1.0
51637,1.0
51639,1.0
51659,1.0
52043,1.0
52655,1.0
52725,1.0
53062,1.0
53390,1.0
53588,1.0
53611,1.0
54195,1.0
54955,1.0
55482,1.0
55976,1.0
56401,1.0
56411,1.0
57123,1.0
57538,1.0
58556,1.0
58732,1.0
59350,1.0
61008,1.0
62487,1.0
62548,1.0
62631,1.0
62672,1.0
63976,1.0
64300,1.0
64535,1.0
65466,1.0
65820,1.0
67503,1.0
67589,1.0
70465,1.0
71087,1.0
72210,1.0
72993,1.0
73836,1.0
74313,1.0
75000,1.0
75098,1.0
75739,1.0
75818,1.0
76171,1.0
76629,1.0
77133,1.0
78084,1.0
78148,1.0
78743,1.0
78870,1.0
79194,1.0
79275,1.0
79730,1.0
79921,1.0
80166,1.0
80357,1.0
81268,1.0
81671,1.0
82126,1.0
82238,1.0
82573,1.0
82763,1.0
83166,1.0
83269,1.0
84082,1.0
85149,1.0
85445,1.0
85855,1.0
85935,1.0
87415,1.0
88157,1.0
89183,1.0
89484,1.0
89778,1.0
90395,1.0
90493,1.0
90632,1.0
91517,1.0
91870,1.0
92550,1.0
95173,1.0
95184,1.0
95363,1.0
95434,1.0
96283,1.0
96373,1.0
97044,1.0
98111,1.0
99477,1.0
99617,1.0
99744,1.0
100112,1.0
100294,1.0
102216,1.0
102301,1.0
102393,1.0
103221,1.0
103588,1.0
103643,1.0
104285,1.0
105354,1.0
105864,1.0
106496,1.0
106640,1.0
107730,1.0
107734,1.0
107771,1.0
108715,1.0
108918,1.0
108946,1.0
109306,1.0
111738,1.0
112342,1.0
112455,1.0
113165,1.0
113704,1.0
114385,1.0
114829,1.0
114866,1.0
115460,1.0
115513,1.0
116646,1.0
117115,1.0
117683,1.0
118824,1.0
119481,1.0
119583,1.0
119697,1.0
119800,1.0
119907,1.0
120937,1.0
120977,1.0
121440,1.0
121872,1.0
122563,1.0
123610,1.0
123611,1.0
124266,1.0
124438,1.0
124532,1.0
125823,1.0
125832,1.0
126503,1.0
127580,1.0
127588,1.0
127705,1.0
128675,1.0
128788,1.0
129601,1.0
129863,1.0
129954,1.0
130119,1.0
130539,1.0
130911,1.0
131276,1.0
132529,1.0
132612,1.0
132812,1.0
132863,1.0
134041,1.0
135945,1.0
136152,1.0
136609,1.0
136627,1.0
136918,1.0
137230,1.0
137734,1.0
137879,1.0
137887,1.0
138367,1.0
138443,1.0
139573,1.0
140002,1.0
140025,1.0
140423,1.0
140927,1.0
141771,1.0
142821,1.0
142874,1.0
142916,1.0
143173,1.0
143502,1.0
143755,1.0
144080,1.0
144388,1.0
144426,1.0
144924,1.0
145423,1.0
145545,1.0
145950,1.0
146328,1.0
146630,1.0
147200,1.0
147701,1.0
148320,1.0
148854,1.0
149040,1.0
149175,1.0
149250,1.0
149462,1.0
149515,1.0
149671,1.0
149766,1.0
150222,1.0
150401,1.0
150652,1.0
151304,1.0
152253,1.0
153586,1.0
154296,1.0
154688,1.0
154768,1.0
154961,1.0
154965,1.0
156775,1.0
157383,1.0
157875,1.0
158138,1.0
158185,1.0
159855,1.0
160172,1.0
160233,1.0
160253,1.0
160645,1.0
160778,1.0
161505,1.0
161754,1.0
162799,1.0
162888,1.0
162910,1.0
163245,1.0
163991,1.0
164664,1.0
165330,1.0
165392,1.0
165410,1.0
165878,1.0
166278,1.0
166356,1.0
167503,1.0
167669,1.0
167909,1.0
168133,1.0
169568,1.0
169759,1.0
170408,1.0
170750,1.0
170851,1.0
171737,1.0
171792,1.0
172503,1.0
173123,1.0
173630,1.0
173826,1.0
174712,1.0
174734,1.0
175324,1.0
175375,1.0
175840,1.0
175922,1.0
176009,1.0
176053,1.0
176473,1.0
177309,1.0
177687,1.0
178351,1.0
178486,1.0
178573,1.0
179548,1.0
180014,1.0
180625,1.0
181059,1.0
181177,1.0
181329,1.0
182891,1.0
183015,1.0
184455,1.0
